"Id","Rank","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
"1","259","Asteroids","2600","1980","Shooter","Atari","4.00","0.26","0.00","0.05","4.31"
"2","545","Missile Command","2600","1980","Shooter","Atari","2.56","0.17","0.00","0.03","2.76"
"3","1768","Kaboom!","2600","1980","Misc","Activision","1.07","0.07","0.00","0.01","1.15"
"4","1971","Defender","2600","1980","Misc","Atari","0.99","0.05","0.00","0.01","1.05"
"5","2671","Boxing","2600","1980","Fighting","Activision","0.72","0.04","0.00","0.01","0.77"
"6","4027","Ice Hockey","2600","1980","Sports","Activision","0.46","0.03","0.00","0.01","0.49"
"7","5368","Freeway","2600","1980","Action","Activision","0.32","0.02","0.00","0.00","0.34"
"8","6319","Bridge","2600","1980","Misc","Activision","0.25","0.02","0.00","0.00","0.27"
"9","6898","Checkers","2600","1980","Misc","Atari","0.22","0.01","0.00","0.00","0.24"
"10","240","Pitfall!","2600","1981","Platform","Activision","4.21","0.24","0.00","0.05","4.50"
"11","736","Frogger","2600","1981","Action","Parker Bros.","2.06","0.12","0.00","0.02","2.20"
"12","768","Demon Attack","2600","1981","Shooter","Imagic","1.99","0.12","0.00","0.02","2.13"
"13","866","E.T.: The Extra Terrestrial","2600","1981","Action","Atari","1.84","0.11","0.00","0.02","1.97"
"14","1108","Ms. Pac-Man","2600","1981","Puzzle","Atari","1.54","0.10","0.00","0.02","1.65"
"15","1155","River Raid","2600","1981","Shooter","Activision","1.49","0.09","0.00","0.02","1.60"
"16","1308","Donkey Kong","2600","1981","Platform","Coleco","1.36","0.08","0.00","0.02","1.46"
"17","1431","Centipede","2600","1981","Shooter","Atari","1.26","0.08","0.00","0.01","1.36"
"18","1558","Atlantis","2600","1981","Shooter","Imagic","1.18","0.08","0.00","0.01","1.27"
"19","1850","Megamania","2600","1981","Shooter","Activision","1.03","0.06","0.00","0.01","1.10"
"20","1967","Cosmic Ark","2600","1981","Shooter","Imagic","0.99","0.05","0.00","0.01","1.05"
"21","2145","Donkey Kong Junior","2600","1981","Platform","Atari","0.90","0.05","0.00","0.01","0.97"
"22","2234","Spider-Man","2600","1981","Action","Parker Bros.","0.87","0.05","0.00","0.01","0.93"
"23","2518","Custer's Revenge","2600","1981","Action","Mystique","0.76","0.05","0.00","0.01","0.82"
"24","2598","Alien","2600","1981","Action","20th Century Fox Video Games","0.74","0.04","0.00","0.01","0.79"
"25","2666","Air Raid","2600","1981","Action","Men-A-Vision","0.72","0.04","0.00","0.01","0.77"
"26","2808","Berzerk","2600","1981","Shooter","Atari","0.68","0.04","0.00","0.01","0.73"
"27","2942","King Kong","2600","1981","Action","Tigervision","0.65","0.04","0.00","0.01","0.69"
"28","3046","Adventures of Tron","2600","1981","Action","Mattel Interactive","0.63","0.03","0.00","0.01","0.67"
"29","3405","BurgerTime","2600","1981","Puzzle","Mattel Interactive","0.55","0.03","0.00","0.01","0.59"
"30","3410","Smurf: Rescue In Gargamel's Castle","2600","1981","Action","Coleco","0.55","0.03","0.00","0.01","0.59"
"31","4017","Raiders of the Lost Ark","2600","1981","Action","Atari","0.46","0.03","0.00","0.01","0.50"
"32","4141","Grand Prix","2600","1981","Racing","Activision","0.45","0.03","0.00","0.00","0.48"
"33","4348","Phoenix","2600","1981","Simulation","Atari","0.42","0.02","0.00","0.00","0.45"
"34","4404","Jawbreaker","2600","1981","Action","Tigervision","0.42","0.03","0.00","0.00","0.45"
"35","4519","Barnstorming","2600","1981","Action","Activision","0.40","0.02","0.00","0.00","0.43"
"36","4786","Mouse Trap","2600","1981","Action","Coleco","0.38","0.02","0.00","0.00","0.40"
"37","4910","Laser Blast","2600","1981","Action","Activision","0.37","0.02","0.00","0.00","0.39"
"38","4969","Airlock","2600","1981","Action","Data Age","0.36","0.02","0.00","0.00","0.39"
"39","5129","Dragonfire","2600","1981","Action","Imagic","0.35","0.02","0.00","0.00","0.37"
"40","5248","Frogs And Flies","2600","1981","Action","Mattel Interactive","0.33","0.02","0.00","0.00","0.36"
"41","5391","Fantastic Voyage","2600","1981","Action","20th Century Fox Video Games","0.32","0.02","0.00","0.00","0.34"
"42","5402","Carnival","2600","1981","Shooter","Coleco","0.32","0.02","0.00","0.00","0.34"
"43","5566","Fireball","2600","1981","Action","Starpath Corp.","0.30","0.02","0.00","0.00","0.33"
"44","5802","Astroblast","2600","1981","Action","Mattel Interactive","0.29","0.02","0.00","0.00","0.31"
"45","6023","Fast Food","2600","1981","Action","Unknown","0.27","0.02","0.00","0.00","0.29"
"46","6539","RealSports Football","2600","1981","Sports","Atari","0.24","0.01","0.00","0.00","0.26"
"47","6868","Front Line","2600","1981","Action","Taito","0.22","0.01","0.00","0.00","0.24"
"48","6942","Dark Cavern","2600","1981","Shooter","Mattel Interactive","0.22","0.01","0.00","0.00","0.24"
"49","2674","Crystal Castles","2600","1983","Action","Atari","0.72","0.04","0.00","0.01","0.77"
"50","7150","Deadly Duck","2600","1981","Shooter","20th Century Fox Video Games","0.21","0.01","0.00","0.00","0.22"
"51","7152","Reactor","2600","1981","Action","Parker Bros.","0.21","0.01","0.00","0.00","0.22"
"52","7186","Crazy Climber","2600","1981","Action","Atari","0.21","0.01","0.00","0.00","0.22"
"53","7373","RealSports Baseball","2600","1981","Sports","Atari","0.20","0.01","0.00","0.00","0.21"
"54","7906","International Soccer","2600","1981","Sports","Mattel Interactive","0.18","0.01","0.00","0.00","0.19"
"55","8461","Armor Ambush","2600","1981","Action","Mattel Interactive","0.15","0.01","0.00","0.00","0.17"
"56","9497","RealSports Volleyball","2600","1981","Sports","Atari","0.12","0.01","0.00","0.00","0.13"
"57","90","Pac-Man","2600","1982","Puzzle","Atari","7.28","0.45","0.00","0.08","7.81"
"58","1117","Dig Dug","2600","1982","Puzzle","Atari","1.52","0.10","0.00","0.02","1.64"
"59","1165","Mario Bros.","2600","1982","Platform","Atari","1.48","0.09","0.00","0.02","1.59"
"60","1707","Pole Position","2600","1982","Racing","Atari","1.10","0.07","0.00","0.01","1.18"
"61","1819","Moon Patrol","2600","1982","Shooter","Atari","1.05","0.06","0.00","0.01","1.12"
"62","1853","Jungle Hunt","2600","1982","Platform","Atari","1.03","0.06","0.00","0.01","1.10"
"63","1907","Joust","2600","1982","Platform","Atari","1.01","0.06","0.00","0.01","1.08"
"64","2408","Enduro","2600","1982","Misc","Quelle","0.81","0.05","0.00","0.01","0.87"
"65","2631","Yars' Revenge","2600","1982","Shooter","Atari","0.73","0.04","0.00","0.01","0.78"
"66","2662","Galaxian","2600","1982","Shooter","Atari","0.72","0.05","0.00","0.01","0.77"
"67","2845","Kangaroo","2600","1982","Platform","Atari","0.67","0.04","0.00","0.01","0.72"
"68","3081","Keystone Kapers","2600","1982","Action","Activision","0.62","0.04","0.00","0.01","0.66"
"69","3217","X-Man","2600","1982","Action","Universal Gamex","0.58","0.04","0.00","0.01","0.63"
"70","3250","Battlezone","2600","1982","Shooter","Atari","0.58","0.03","0.00","0.01","0.62"
"71","3268","Halloween","2600","1982","Action","Wizard Video Games","0.58","0.03","0.00","0.01","0.62"
"72","3449","Q*bert","2600","1982","Puzzle","Parker Bros.","0.55","0.03","0.00","0.01","0.58"
"73","3645","The Activision Decathlon","2600","1982","Sports","Activision","0.52","0.03","0.00","0.01","0.55"
"74","3718","Action Force","2600","1982","Action","CPG Products","0.50","0.03","0.00","0.01","0.54"
"75","3750","Popeye","2600","1982","Platform","Parker Bros.","0.50","0.03","0.00","0.01","0.54"
"76","3968","Chopper Command","2600","1982","Shooter","Activision","0.47","0.03","0.00","0.01","0.50"
"77","4015","RealSports Tennis","2600","1982","Sports","Atari","0.46","0.03","0.00","0.01","0.50"
"78","4018","Gauntlet","2600","1982","Action","Answer Software","0.46","0.03","0.00","0.01","0.50"
"79","4803","Congo Bongo","2600","1982","Action","Sega","0.37","0.02","0.00","0.00","0.40"
"80","4896","Bump 'n' Jump","2600","1982","Racing","Mattel Interactive","0.37","0.02","0.00","0.00","0.39"
"81","5066","Gravitar","2600","1982","Action","Atari","0.35","0.02","0.00","0.00","0.38"
"82","5383","Alien's Return","2600","1982","Action","ITT Family Games","0.32","0.02","0.00","0.00","0.34"
"83","5397","Bank Heist","2600","1982","Action","20th Century Fox Video Games","0.32","0.02","0.00","0.00","0.34"
"84","5660","Frankenstein's Monster","2600","1982","Action","Data Age","0.30","0.02","0.00","0.00","0.32"
"85","5775","Mountain King","2600","1982","Action","CBS Electronics","0.29","0.02","0.00","0.00","0.31"
"86","6147","Polaris","2600","1982","Action","Tigervision","0.26","0.02","0.00","0.00","0.28"
"87","6267","Mr. Do!","2600","1982","Action","Coleco","0.26","0.02","0.00","0.00","0.27"
"88","6730","Porky's","2600","1982","Action","20th Century Fox Video Games","0.23","0.01","0.00","0.00","0.25"
"89","7151","Assault","2600","1982","Action","Bomb","0.21","0.01","0.00","0.00","0.22"
"90","8460","Death Trap","2600","1982","Action","Avalon Interactive","0.15","0.01","0.00","0.00","0.17"
"91","8760","Pressure Cooker","2600","1982","Action","Activision","0.14","0.01","0.00","0.00","0.15"
"92","9108","Krull","2600","1982","Action","Atari","0.13","0.01","0.00","0.00","0.14"
"93","422","Baseball","NES","1983","Sports","Nintendo","0.73","0.10","2.35","0.02","3.20"
"94","702","Mario Bros.","NES","1983","Platform","Nintendo","0.51","0.12","1.63","0.02","2.28"
"95","765","Mahjong","NES","1983","Misc","Nintendo","0.01","0.00","2.13","0.00","2.14"
"96","1510","Pitfall II: Lost Caverns","2600","1983","Platform","Activision","1.22","0.07","0.00","0.02","1.31"
"97","1811","Donkey Kong","NES","1983","Platform","Nintendo","0.23","0.05","0.84","0.01","1.13"
"98","1841","Donkey Kong Jr.","NES","1983","Platform","Nintendo","0.33","0.07","0.70","0.01","1.11"
"99","1863","Popeye","NES","1983","Platform","Nintendo","0.51","0.12","0.45","0.02","1.10"
"100","2654","Jr. Pac-Man","2600","1983","Puzzle","Atari","0.72","0.05","0.00","0.01","0.78"
